Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-12-28,108.0,108.05,107.06,107.77,3477599.0,0.0,1.0,106.30566379971896,106.35487938481141,105.38041079998065,106.07927210829362,3477599.0
2017-12-27,108.42,108.55,107.455,107.64,5624037.0,0.0,1.0,106.71907471449563,106.84703523573603,105.76921392221111,105.95131158705323,5624037.0
2017-12-26,108.49,109.37,107.89,108.12,3982398.0,0.0,1.0,106.78797653362508,107.65417083125243,106.19738951251553,106.42378120394086,3982398.0
2017-12-22,109.4,109.685,108.45,108.67,7377990.0,0.0,1.0,107.6837001823079,107.96422901733494,106.74860406555112,106.96515263995795,7377990.0
2017-12-21,109.52,111.09,109.1892,109.57,9366706.0,0.0,1.0,107.80181758652981,109.34718695843314,107.47620727555808,107.85103317162226,9366706.0
2017-12-20,111.625,112.3,109.69,109.69,8661018.0,0.0,1.0,109.87379371892249,110.53820411767072,107.96915057584418,107.96915057584418,8661018.0
2017-12-19,111.05,112.39,110.77,111.81,10546010.0,0.0,1.0,109.30781449035916,110.62679217083716,109.03220721384137,110.05589138376459,10546010.0
2017-12-18,111.85,111.99,110.305,111.03,12269462.0,0.0,1.0,110.09526385183855,110.23306749009745,108.57450227248148,109.28812825632218,12269462.0
2017-12-15,111.805,112.0,110.6,111.27,19975645.0,0.0,1.0,110.05096982525535,110.24291060711595,108.864874224527,109.52436306476599,19975645.0
2017-12-14,107.75,111.54,107.2,110.57,27569243.0,0.0,1.0,106.05958587425664,109.7901272242653,105.51821443823955,108.83534487347151,27569243.0
2017-12-13,108.15,108.19,106.75,107.61,10363604.0,0.0,1.0,106.45331055499635,106.4926830230703,105.07527417240739,105.92178223599774,10363604.0
2017-12-12,107.6,107.83,106.585,107.43,8132464.0,0.0,1.0,105.91193911897925,106.13833081040458,104.91286274160225,105.74460612966489,8132464.0
2017-12-11,104.87,106.84,104.77,106.83,7433971.0,0.0,1.0,103.22476817293081,105.16386222557382,103.12633700274587,105.15401910855533,7433971.0
2017-12-08,104.91,104.98,104.0775,104.23,6535950.0,0.84,1.0,103.26414064100477,103.33304246013422,102.44470114921528,102.59480868374729,6535950.0
2017-12-07,105.74,106.0,104.49,105.26,9945638.0,0.0,1.0,103.24902512819489,103.50290016633875,102.02847206019561,102.78033275008318,9945638.0
2017-12-06,107.17,107.99,105.36,105.46,8117723.0,0.0,1.0,104.64533783798608,105.4460206505936,102.87797699552311,102.97562124096305,8117723.0
2017-12-05,109.53,110.04,106.52,107.22,13054151.0,0.0,1.0,106.94974203036871,107.44772768211241,104.01065024262644,104.69415996070605,13054151.0
2017-12-04,106.5,112.67,106.5,110.22,17822480.0,0.0,1.0,103.99112139353845,110.0157713371829,103.99112139353845,107.6234873239043,17822480.0
2017-12-01,104.58,105.85,103.87,105.25,9258268.0,0.0,1.0,102.11635188109156,103.35643379817883,101.42307773846798,102.77056832553917,9258268.0
2017-11-30,105.36,105.71,104.465,104.82,9948944.0,0.0,1.0,102.87797699552311,103.21973185456291,102.00406099883564,102.35069807014742,9948944.0
2017-11-29,103.5,106.26,103.43,105.24,14500647.0,0.0,1.0,101.0617940303402,103.7567752044826,100.99344305853224,102.76080390099519,14500647.0
2017-11-28,102.56,103.875,102.17,103.41,8401145.0,0.0,1.0,100.14393812320473,101.42795995073998,99.76312556598896,100.97391420944423,8401145.0
2017-11-27,102.63,102.97,102.38,102.79,4007433.0,0.0,1.0,100.2122890950127,100.5442795295085,99.96817848141283,100.3685198877166,4007433.0
2017-11-24,102.91,102.92,102.45,102.64,2217591.0,0.0,1.0,100.48569298224453,100.49545740678853,100.0365294532208,100.22205351955668,2217591.0
2017-11-22,103.22,103.32,102.69,102.74,4140480.0,0.0,1.0,100.78839014310834,100.88603438854828,100.27087564227665,100.31969776499662,4140480.0
2017-11-21,102.97,103.17,102.79,103.0,5725938.0,0.0,1.0,100.5442795295085,100.73956802038838,100.3685198877166,100.57357280314048,5725938.0
2017-11-20,103.42,103.42,102.7,102.75,5112070.0,0.0,1.0,100.98367863398823,100.98367863398823,100.28064006682065,100.32946218954062,5112070.0
2017-11-17,103.22,103.99,102.971,103.44,7500834.0,0.0,1.0,100.78839014310834,101.5402508329959,100.5452559719629,101.00320748307622,7500834.0
2017-11-16,103.63,103.98,102.76,103.6,6362493.0,0.0,1.0,101.18873154941211,101.53048640845192,100.33922661408462,101.15943827578013,6362493.0
2017-11-15,102.75,103.96,102.4488,103.69,5691471.0,0.0,1.0,100.32946218954062,101.51095755936392,100.03535772227552,101.24731809667608,5691471.0
2017-11-14,104.57,104.57,103.0,103.17,6928761.0,0.0,1.0,102.10658745654756,102.10658745654756,100.57357280314048,100.73956802038838,6928761.0
2017-11-13,104.14,105.14,103.98,104.74,7855962.0,0.0,1.0,101.68671720115582,102.66315965555525,101.53048640845192,102.27258267379547,7855962.0
2017-11-10,104.99,106.24,104.08,104.78,16699680.0,0.0,1.0,102.51669328739533,103.7372463553946,101.62813065389186,102.31164037197145,16699680.0
2017-11-09,100.83,103.91,100.8,102.68,12086586.0,0.0,1.0,98.45469267709373,101.46213543664395,98.42539940346175,100.26111121773268,12086586.0
